交易 #,種類,信號,日期/時間,價格 USDT,合約,獲利 USDT,獲利 %,累計獲利 USDT,累計獲利 %,最大交易獲利 USDT,最大交易獲利 %,最大交易虧損 USDT,最大交易虧損 %
337,多頭出場,Trailing Stop,2023-11-08 22:15,35974.5,1,76.36,0.21,-1499730.51,0.01,96.25,0.27,14.35,0.04
337,多頭進場,Long,2023-11-08 22:15,35869.4,1,76.36,0.21,-1499730.51,0.01,96.25,0.27,14.35,0.04
336,多頭出場,Trailing Stop,2023-11-07 18:45,35550.2,1,271.88,0.77,-1499806.87,0.02,290.90,0.82,21.20,0.06
336,多頭進場,Long,2023-11-07 18:45,35250.0,1,271.88,0.77,-1499806.87,0.02,290.90,0.82,21.20,0.06
335,多頭出場,Trailing Stop,2023-11-07 18:15,35465.8,1,137.49,0.39,-1500078.75,0.01,155.88,0.44,14.12,0.04
335,多頭進場,Long,2023-11-07 18:15,35300.0,1,137.49,0.39,-1500078.75,0.01,155.88,0.44,14.12,0.04
334,多頭出場,Close entry(s) order Long,2023-11-05 18:00,35083.9,1,-156.82,-0.45,-1500216.24,-0.01,11.31,0.03,161.59,0.46
334,多頭進場,Long,2023-11-05 17:15,35212.6,1,-156.82,-0.45,-1500216.24,-0.01,11.31,0.03,161.59,0.46
333,多頭出場,Trailing Stop,2023-11-04 22:45,35205.5,1,140.30,0.4,-1500059.43,0.01,156.49,0.45,74.71,0.21
333,多頭進場,Long,2023-11-04 22:45,35037.1,1,140.30,0.4,-1500059.43,0.01,156.49,0.45,74.71,0.21
332,多頭出場,Trailing Stop,2023-11-01 21:00,35727.1,1,204.11,0.57,-1500199.73,0.01,225.30,0.63,14.20,0.04
332,多頭進場,Long,2023-11-01 21:00,35494.5,1,204.11,0.57,-1500199.73,0.01,225.30,0.63,14.20,0.04
331,多頭出場,Trailing Stop,2023-11-01 13:00,34918.6,1,65.30,0.19,-1500403.84,0,82.47,0.24,95.13,0.27
331,多頭進場,Long,2023-11-01 13:00,34825.4,1,65.30,0.19,-1500403.84,0,82.47,0.24,95.13,0.27
330,空頭出場,Trailing Stop,2023-10-31 13:00,34267.2,1,21.87,0.06,-1500469.14,0,38.47,0.11,49.83,0.15
330,空頭進場,Short,2023-10-31 13:00,34316.5,1,21.87,0.06,-1500469.14,0,38.47,0.11,49.83,0.15
329,空頭出場,Trailing Stop,2023-10-30 17:15,34054.8,1,93.51,0.27,-1500491.01,0.01,111.93,0.33,112.17,0.33
329,空頭進場,Short,2023-10-30 17:15,34175.6,1,93.51,0.27,-1500491.01,0.01,111.93,0.33,112.17,0.33
328,空頭出場,Trailing Stop,2023-10-30 17:00,34133.2,1,236.29,0.69,-1500584.52,0.02,254.14,0.74,95.46,0.28
328,空頭進場,Short,2023-10-30 16:45,34396.9,1,236.29,0.69,-1500584.52,0.02,254.14,0.74,95.46,0.28
327,多頭出場,Trailing Stop,2023-10-30 14:15,34845.7,1,11.54,0.03,-1500820.81,0,29.78,0.09,13.92,0.04
327,多頭進場,Long,2023-10-30 14:15,34806.3,1,11.54,0.03,-1500820.81,0,29.78,0.09,13.92,0.04
