,全部 USDT,全部 %,看多 USDT,看多 %,看空 USDT,看空 %
淨利,26898.65,2689865.08,21800.25,2180024.98,5098.40,509840.1
毛利,40249.50,4024949.91,28870.12,2887011.69,11379.38,1137938.22
毛損,13350.85,1335084.83,7069.87,706986.71,6280.98,628098.12
最大交易獲利,27099.80,100,,,,
最大交易虧損,1812.38,80.24,,,,
購買和保留退貨,0.30,30.23,,,,
夏普比率,0.933,,,,,
Sortino比率,44.331,,,,,
盈利因子,3.015,,4.084,,1.812,
最大持倉,15,,15,,9,
持倉損益,0,0,,,,
已付佣金,22692.00,,14844.98,,7847.02,
所有已平倉交易,873,,543,,330,
總持倉,0,,0,,0,
獲利交易次數,523,,332,,191,
虧損交易次數,350,,211,,139,
勝率,59.91,,61.14,,57.88,
平均成交,30.81,0.1,40.15,0.11,15.45,0.08
平均獲利交易,76.96,0.27,86.96,0.28,59.58,0.25
平均虧損交易,38.15,0.15,33.51,0.15,45.19,0.15
平均盈利/平均虧損,2.018,,2.595,,1.318,
最大盈利交易,2806.57,4.22,2241.52,4.12,2806.57,4.22
最大虧損交易,855.83,0.87,855.83,0.87,696.89,0.8
全部交易的平均持倉K線根數,1,,1,,1,
盈利交易的平均持倉K線根數,1,,1,,1,
虧損交易的平均持倉K線根數,2,,2,,2,
追加保證金,0,,0,,0,
